,Fecha,ventas_20145,ventas_20155,ventas_20167,ventas_20184,ventas_20187,ventas_20188,ventas_20193,ventas_20198,ventas_20215,ventas_20226,ventas_20230,ventas_20251,ventas_20252,ventas_20269,ventas_20282,ventas_20284,ventas_20291,ventas_20292,ventas_20303,ventas_20324,ventas_20327,ventas_20338,ventas_20383,ventas_20450,ventas_20306,ventas_20348,ventas_20403,ventas_20364,ventas_20527,ventas_20540,ventas_20553,ventas_21093,ventas_21105,ventas_20623,ventas_20537,ventas_20603,ventas_20633,ventas_20746,ventas_20795,ventas_20822,ventas_21086,totales_ventas,edad_ventas_20145,diff_ventas_20145,fraccion_ventas_20145,edad_ventas_20155,diff_ventas_20155,fraccion_ventas_20155,edad_ventas_20167,diff_ventas_20167,fraccion_ventas_20167,edad_ventas_20184,diff_ventas_20184,fraccion_ventas_20184,edad_ventas_20187,diff_ventas_20187,fraccion_ventas_20187,edad_ventas_20188,diff_ventas_20188,fraccion_ventas_20188,edad_ventas_20193,diff_ventas_20193,fraccion_ventas_20193,edad_ventas_20198,diff_ventas_20198,fraccion_ventas_20198,edad_ventas_20215,diff_ventas_20215,fraccion_ventas_20215,edad_ventas_20226,diff_ventas_20226,fraccion_ventas_20226,edad_ventas_20230,diff_ventas_20230,fraccion_ventas_20230,edad_ventas_20251,diff_ventas_20251,fraccion_ventas_20251,edad_ventas_20252,diff_ventas_20252,fraccion_ventas_20252,edad_ventas_20269,diff_ventas_20269,fraccion_ventas_20269,edad_ventas_20282,diff_ventas_20282,fraccion_ventas_20282,edad_ventas_20284,diff_ventas_20284,fraccion_ventas_20284,edad_ventas_20291,diff_ventas_20291,fraccion_ventas_20291,edad_ventas_20292,diff_ventas_20292,fraccion_ventas_20292,edad_ventas_20303,diff_ventas_20303,fraccion_ventas_20303,edad_ventas_20324,diff_ventas_20324,fraccion_ventas_20324,edad_ventas_20327,diff_ventas_20327,fraccion_ventas_20327,edad_ventas_20338,diff_ventas_20338,fraccion_ventas_20338,edad_ventas_20383,diff_ventas_20383,fraccion_ventas_20383,edad_ventas_20450,diff_ventas_20450,fraccion_ventas_20450,edad_ventas_20306,diff_ventas_20306,fraccion_ventas_20306,edad_ventas_20348,diff_ventas_20348,fraccion_ventas_20348,edad_ventas_20403,diff_ventas_20403,fraccion_ventas_20403,edad_ventas_20364,diff_ventas_20364,fraccion_ventas_20364,edad_ventas_20527,diff_ventas_20527,fraccion_ventas_20527,edad_ventas_20540,diff_ventas_20540,fraccion_ventas_20540,edad_ventas_20553,diff_ventas_20553,fraccion_ventas_20553,edad_ventas_21093,diff_ventas_21093,fraccion_ventas_21093,edad_ventas_21105,diff_ventas_21105,fraccion_ventas_21105,edad_ventas_20623,diff_ventas_20623,fraccion_ventas_20623,edad_ventas_20537,diff_ventas_20537,fraccion_ventas_20537,edad_ventas_20603,diff_ventas_20603,fraccion_ventas_20603,edad_ventas_20633,diff_ventas_20633,fraccion_ventas_20633,edad_ventas_20746,diff_ventas_20746,fraccion_ventas_20746,edad_ventas_20795,diff_ventas_20795,fraccion_ventas_20795,edad_ventas_20822,diff_ventas_20822,fraccion_ventas_20822,edad_ventas_21086,diff_ventas_21086,fraccion_ventas_21086
0,2017-01-01,61.7512,52.42685,47.57818,37.78966,53.90377,54.51789,37.876509999999996,56.07955,52.38636,26.28727,14.14961,27.482699999999998,42.61191,31.760479999999998,25.61647,28.94539,13.96261,24.95044,20.53542,15.334200000000001,14.62185,23.11217,17.77704,11.20655,,,,,,,,,,,,,,,,,,792.66408,1,,0.07790336607658568,1,,0.06614006023837993,1,,0.06002313110996527,1,,0.04767424304126409,1,,0.06800329592328695,1,,0.06877805034384805,1,,0.047783810261718934,1,,0.07074819133976652,1,,0.0660889793315726,1,,0.03316319064186685,1,,0.01785070164905164,1,,0.03467130742192834,1,,0.05375784153105563,1,,0.04006801973416027,1,,0.03231693052118623,1,,0.03651659098769809,1,,0.017614788347669292,1,,0.031476688082043534,1,,0.02590683811482917,1,,0.01934514302704369,1,,0.01844646473699174,1,,0.029157584635347674,1,,0.02242695291554021,1,,0.014137829987199622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-02-01,35.47777,33.95986,14.89612,50.71254,51.14753,48.68291,40.77989,39.43207,25.40269,37.50478,14.8836,28.94164,5.80434,3.08952,15.18386,24.9463,12.56436,19.090690000000002,11.99291,12.44862,20.85394,20.71951,0.24408,7.51734,,,,,,,,,,,,,,,,,,576.27687,2,-0.42547237948412336,0.06156375840661451,2,-0.35224298236495233,0.058929764090653154,2,-0.6869127822880153,0.025848894473241655,2,0.34196867608758585,0.08800030443699744,2,-0.051132601671460054,0.08875513258062917,2,-0.10702872029713552,0.0844783341729471,2,0.07665384165542195,0.0707644053109402,2,-0.29685473581724525,0.06842556426045696,2,-0.5150896149302987,0.044080703776988306,2,0.42672784203152314,0.0650811822449164,2,0.05187351453502961,0.02582716880516131,2,0.053085759405007586,0.05022176232754231,2,-0.8637859696972043,0.01007213772088406,2,-0.9027243920746789,0.0053611730069957515,2,-0.40726181241990017,0.026348203078148873,2,-0.1381598244141813,0.043288740705487626,2,-0.10014245187683385,0.02180264496820773,2,-0.2348555776972269,0.03312763533264835,2,-0.41598905695622485,0.020811020924716272,2,-0.18817936377509104,0.021601804007854764,2,0.4262176126823898,0.0361873625085803,2,-0.10352381450984478,0.0359540892210371,2,-0.9862699302021034,0.00042354641094652986,2,-0.3292012260686831,0.013044667227404076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017-03-01,48.10685,54.90148,63.62901,70.28218,52.967240000000004,54.71508,37.809039999999996,50.235260000000004,73.67811,50.69614,1.49977,19.98083,50.50334,49.82355,30.28079,26.05388,0.8502799999999999,35.09445,31.68625,1.35349,13.606770000000001,27.35147,34.83596,13.30096,,,,,,,,,,,,,,,,,,893.24218,3,0.35597164083311894,0.053856446859685915,3,0.6166580192026705,0.06146315213193358,3,3.2715156698522834,0.07123377223408774,3,0.38589350878500667,0.07868211060073316,3,0.03557767110161528,0.05929773714895551,3,0.12390734243289896,0.061254474122572226,3,-0.07285085859721557,0.04232787126107278,3,0.2739696394330807,0.05623923850080614,3,1.9004058231628227,0.08248391270551063,3,0.3517247668163899,0.0567552015960554,3,-0.8992333843962482,0.0016790183374457306,3,-0.30961652484102486,0.022368883207015595,3,7.700961694180561,0.056539358676501374,3,15.12663132137031,0.055778322067146446,3,0.9942748418386367,0.03389986576764657,3,0.04439856812433101,0.029167767245384675,3,-0.9323260396868603,0.000951903099784204,3,0.8383018109874498,0.03928884101733754,3,1.6420818633676062,0.03547330243630009,3,-0.8912738922065256,0.001515255358854639,3,-0.34752042060157456,0.01523301329097558,3,0.3200828591023629,0.030620441591775256,3,141.72353326778108,0.03899945701175912,3,0.7693705486249125,0.014890653730660145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017-04-01,57.314429999999994,60.72642,45.02586,37.64776,50.74283,2.2879899999999997,49.81839,49.71908,10.91998,34.41744,22.08112,31.74308,9.39512,11.430689999999998,15.12136,30.3931,29.25356,23.847450000000002,9.84506,35.25065,5.6246599999999995,21.82854,1.37386,9.66231,,,,,,,,,,,,,,,,,,655.47074,4,0.191398522247871,0.08744010449650277,4,0.10609805054435688,0.09264550847837998,4,-0.29236899961196944,0.06869240265400711,4,-0.46433420249628,0.05743621751903067,4,-0.04199595825646203,0.07741433278928667,4,-0.9581835574397406,0.0034906058506898414,4,0.3176317092420227,0.07600398760744073,4,-0.010275252880148437,0.07585247817469319,4,-0.8517880005336728,0.016659752043241473,4,-0.32110334238464705,0.05250797312478052,4,13.723004193976408,0.03368742287413165,4,0.5886767466616751,0.04842791304460059,4,-0.8139703235469179,0.014333393432634385,4,-0.7705765646968151,0.01743890200194138,4,-0.5006286163604055,0.02306946607563291,4,0.16654793834929774,0.04636835505426223,4,33.40461965470198,0.044629848770976414,4,-0.32047802430298805,0.03638217321493253,4,-0.6892955146159612,0.015019831396287804,4,25.04426334882415,0.05377913589247325,4,-0.5866278330566329,0.008581100050324138,4,-0.2019244303871053,0.0333020814933707,4,-0.9605620169503007,0.0020959898225205295,4,-0.2735629608689899,0.01474102413785854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017-05-01,58.74799,56.22472,38.75162,51.67655,41.16983,85.88064,48.73715,24.22134,45.71096,25.383210000000002,36.48239,27.11157,31.01735,30.17739,21.26991,28.727420000000002,18.312450000000002,17.73716,27.7967,16.52129,36.02134,21.86542,24.05599,8.68786,,,,,,,,,,,,,,,,,,822.2882500000001,5,0.02501220024346412,0.07144452082344603,5,-0.07413083135808105,0.06837592535221072,5,-0.13934747720532153,0.04712656419449019,5,0.37263279408921013,0.06284481141497522,5,-0.18865719550919807,0.05006739425013065,5,36.53540880860494,0.10444103998810635,5,-0.02170363193190308,0.05927015252862971,5,-0.5128361184478876,0.029456021048579983,5,3.1859930146392204,0.05558994671272512,5,-0.26248988884704955,0.030868992716361933,5,0.6521983486344898,0.04436691148146651,5,-0.14590613135209307,0.03297088338547948,5,2.3014320200274185,0.03772077492290568,5,1.6400322290255447,0.03669928397979662,5,0.406613558568806,0.02586673225599417,5,-0.0548045444525237,0.034935948555752806,5,-0.3740095222598548,0.022270110268509856,5,-0.2562240407255284,0.021570489423872952,5,1.8234160076220969,0.033804082692413515,5,-0.5313195643200905,0.020091847354014848,5,5.4041808749328855,0.04380622002077739,5,0.0016895312283826598,0.026590943017852923,5,16.50978265616584,0.029254935845185674,5,-0.1008506247470842,0.010565467766321604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017-06-01,63.34039,46.293910000000004,50.01717,46.1247,46.66997,42.48422,38.05252,33.95722,23.47017,32.53557,31.44711,37.40759,24.44704,26.61348,31.70439,27.2692,25.26912,24.45547,28.49396,26.33061,20.78115,17.80495,19.01852,12.8689,,,,,,,,,,,,,,,,,,776.85733,6,0.07817118509075796,0.08153413445941225,6,-0.17662711348317953,0.059591263688018495,6,0.2907117173423975,0.06438398412228408,6,-0.10743461008910235,0.05937345020610154,6,0.1335963738494913,0.06007534227681162,6,-0.5053108593508385,0.054687287304092246,6,-0.21922968413212504,0.04898263623257568,6,0.4019546399992733,0.043711011904850015,6,-0.48655267795732143,0.03021168635945032,6,0.28177523646536423,0.04188101050678121,6,-0.13801946637816226,0.04047990381966274,6,0.379764801522007,0.048152458058161075,6,-0.21182692912192688,0.03146915019775896,6,-0.11809868249043406,0.034257873321475896,6,0.49057471329215785,0.040811084320978214,6,-0.0507605625566097,0.035101940790080464,6,0.3798874536176207,0.03252736252099211,6,0.37877033301836366,0.03148000161110663,6,0.0250842725935093,0.03667849796821766,6,0.5937381403026034,0.03389375240882389,6,-0.4230878140568896,0.026750278587189234,6,-0.18570281293476176,0.022919201908026023,6,-0.20940605645413066,0.02448135489691524,6,0.48125084888568637,0.016565332530234348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2017-07-01,60.963139999999996,42.19443,44.4486,40.76227,30.08922,30.66431,35.96116,21.536270000000002,20.26595,15.54382,14.82282,22.29839,15.347100000000001,14.93172,14.370280000000001,15.00765,19.56328,13.9232,13.19329,18.16044,17.07764,11.51402,14.987400000000001,4.50547,,,,,,,,,,,,,,,,,,552.1318699999999,7,-0.03753134453387489,0.11041409364759183,7,-0.088553332392965,0.0764209282105016,7,-0.11133316819004356,0.0805035941866569,7,-0.11625940114515643,0.07382705512000241,7,-0.3552766372037522,0.05449643759922789,7,-0.27821883042692086,0.055538018480983546,7,-0.054959829204478484,0.06513146940784274,7,-0.3657822990221225,0.03900566362887186,7,-0.13652308440884747,0.036704908919675296,7,-0.522251492750857,0.02815236874480729,7,-0.5286428546216171,0.026846521284851755,7,-0.40390733538300644,0.040385986050759944,7,-0.3722307485896043,0.027796077049491823,7,-0.4389414687594407,0.027043756774989283,7,-0.5467416342027082,0.02602689824805803,7,-0.449648321182873,0.027181278269627872,7,-0.22580287718765046,0.03543226005048396,7,-0.4306713385594306,0.02521716415319406,7,-0.5369794159885113,0.02389517924404545,7,-0.31029170991481014,0.032891490215915274,7,-0.1782148726129209,0.03093036451599869,7,-0.3533247776601451,0.02085375002895595,7,-0.21195760763718724,0.027144602248734533,7,-0.6498947073953486,0.008160133918732132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2017-08-01,51.96967,43.03128,34.725319999999996,35.63282,53.67796,53.79506,44.583980000000004,28.2747,20.07599,40.76153,31.49909,21.85439,21.83282,30.2131,15.216239999999999,27.11721,24.51015,27.06805,13.53965,27.27755,15.04018,17.97443,14.5623,5.32811,,,,,,,,,,,,,,,,,,699.56158,8,-0.14752307705935086,0.07428891392234548,8,0.019833186513006706,0.0615117828511966,8,-0.2187533465620965,0.049638689420308066,8,-0.12583818320226028,0.05093593047233955,8,0.7839598367787532,0.0767308576322902,8,0.7543215549281884,0.0768982481856708,8,0.23978147534729147,0.06373131583355393,8,0.3128875148760671,0.04041774278112872,8,-0.009373357774987072,0.02869795965638936,8,1.6223624565904649,0.058267250754393915,8,1.1250403094687784,0.04502690099133231,8,-0.01991175147622777,0.03124012327835385,8,0.42260231574694895,0.031209289681117136,8,1.0234172620434887,0.04318862107893346,8,0.05886872072082089,0.02175110874442247,8,0.8068924848327353,0.03876314934276408,8,0.2528650614825326,0.0350364438252884,8,0.9440969030108022,0.03869287675861215,8,0.026252739081760554,0.019354479129628586,8,0.5020313384477468,0.0389923500372905,8,-0.11930571203046789,0.021499436832994743,8,0.5610907398111173,0.025693849567896512,8,-0.028363825613515383,0.020816323274928848,8,0.18258694431435563,0.0076163559468202914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2017-09-01,50.73393,41.97074,40.401,41.34788,52.00406,50.12673,36.16716,22.05232,21.137420000000002,27.75761,21.07446,24.896069999999998,17.94712,25.90914,22.60258,26.70439,21.83301,26.503140000000002,23.83409,23.94613,16.26265,16.52542,15.73363,9.51313,,,,,,,,,,,,,,,,,,676.98381,9,-0.02377809980321214,0.07494112746950331,9,-0.024645792549048112,0.06199666724673963,9,0.16344500209069368,0.05967794119035137,9,0.1603875303722804,0.061076615702227804,9,-0.031184121006088833,0.07681728755079092,9,-0.06819083387954206,0.0740442079405119,9,-0.1887857477057903,0.05342396592911137,9,-0.22006882477975,0.032574368358971546,9,0.052870618086580105,0.03122293279066748,9,-0.3190243349550422,0.04100188156641442,9,-0.3309501957040664,0.03112993204372199,9,0.13917935938729015,0.03677498580062055,9,-0.17797517682095118,0.026510412412964503,9,-0.1424534390711314,0.038271432222286086,9,0.4854247829950107,0.033387179525017005,9,-0.01522354253995894,0.03944612796574855,9,-0.1092257697321313,0.032250416741871575,9,-0.02086999248191124,0.039148853500647236,9,0.7603180289003039,0.03520629245180915,9,-0.12213046992856767,0.03537179123973438,9,0.08128027723072472,0.024022214061515005,9,-0.08061507374642762,0.02441036219167487,9,0.08043578280903424,0.023240777353301847,9,0.7854605103873608,0.014052226743797611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2017-10-01,96.07449,90.9858,83.51987,48.50409,52.28952,53.94495,42.56255,40.79213,32.77406,40.15123,24.2986,30.17865,28.9514,30.19126,29.238780000000002,27.94498,24.98809,27.32472,19.14692,24.29953,24.14293,30.319380000000002,22.95197,12.17456,,,,,,,,,,,,,,,,,,937.75046,10,0.893693037381492,0.10245208517413044,10,1.1678388324818672,0.09702559889973288,10,1.0672723447439418,0.08906406721464045,10,0.17307320230202838,0.051723877586794254,10,0.005489186805799402,0.055760591149163506,10,0.07617133613144118,0.05752591153087784,10,0.17682864786729172,0.04538792761562602,10,0.8497885936717768,0.04349998399360956,10,0.5505231953568598,0.03494966027529328,10,0.4464944928615972,0.04281653991404067,10,0.15298802436693526,0.025911584196930175,10,0.21218529671550584,0.03218196235275641,10,0.6131501878852984,0.030873245319442445,10,0.16527449386587123,0.03219540942693859,10,0.29360365055670645,0.031179702113929116,10,0.0464564066058053,0.029800017373491878,10,0.14450962098217324,0.02664684376694414,10,0.03099934573790114,0.02913858341375807,10,-0.19665823196941853,0.020417926534528175,10,0.01475812584329913,0.02591257593198088,10,0.4845630939607013,0.025745580546022873,10,0.8347116139862104,0.03233203425994587,10,0.4587841458074201,0.024475562507322045,10,0.2797638632080082,0.01298272890210046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
