,Fecha,ventas_20153,ventas_20157,ventas_20176,ventas_20177,ventas_20179,ventas_20181,ventas_20182,ventas_20200,ventas_20208,ventas_20220,ventas_20225,ventas_20238,ventas_20241,ventas_20268,ventas_20273,ventas_20277,ventas_20295,ventas_20301,ventas_20310,ventas_20314,ventas_20329,ventas_20336,ventas_20356,ventas_20385,ventas_20483,ventas_20297,ventas_20344,ventas_20387,ventas_20389,ventas_20495,ventas_20523,ventas_20559,ventas_20659,ventas_20525,ventas_20575,ventas_20577,ventas_20754,totales_ventas,edad_ventas_20153,diff_ventas_20153,fraccion_ventas_20153,edad_ventas_20157,diff_ventas_20157,fraccion_ventas_20157,edad_ventas_20176,diff_ventas_20176,fraccion_ventas_20176,edad_ventas_20177,diff_ventas_20177,fraccion_ventas_20177,edad_ventas_20179,diff_ventas_20179,fraccion_ventas_20179,edad_ventas_20181,diff_ventas_20181,fraccion_ventas_20181,edad_ventas_20182,diff_ventas_20182,fraccion_ventas_20182,edad_ventas_20200,diff_ventas_20200,fraccion_ventas_20200,edad_ventas_20208,diff_ventas_20208,fraccion_ventas_20208,edad_ventas_20220,diff_ventas_20220,fraccion_ventas_20220,edad_ventas_20225,diff_ventas_20225,fraccion_ventas_20225,edad_ventas_20238,diff_ventas_20238,fraccion_ventas_20238,edad_ventas_20241,diff_ventas_20241,fraccion_ventas_20241,edad_ventas_20268,diff_ventas_20268,fraccion_ventas_20268,edad_ventas_20273,diff_ventas_20273,fraccion_ventas_20273,edad_ventas_20277,diff_ventas_20277,fraccion_ventas_20277,edad_ventas_20295,diff_ventas_20295,fraccion_ventas_20295,edad_ventas_20301,diff_ventas_20301,fraccion_ventas_20301,edad_ventas_20310,diff_ventas_20310,fraccion_ventas_20310,edad_ventas_20314,diff_ventas_20314,fraccion_ventas_20314,edad_ventas_20329,diff_ventas_20329,fraccion_ventas_20329,edad_ventas_20336,diff_ventas_20336,fraccion_ventas_20336,edad_ventas_20356,diff_ventas_20356,fraccion_ventas_20356,edad_ventas_20385,diff_ventas_20385,fraccion_ventas_20385,edad_ventas_20483,diff_ventas_20483,fraccion_ventas_20483,edad_ventas_20297,diff_ventas_20297,fraccion_ventas_20297,edad_ventas_20344,diff_ventas_20344,fraccion_ventas_20344,edad_ventas_20387,diff_ventas_20387,fraccion_ventas_20387,edad_ventas_20389,diff_ventas_20389,fraccion_ventas_20389,edad_ventas_20495,diff_ventas_20495,fraccion_ventas_20495,edad_ventas_20523,diff_ventas_20523,fraccion_ventas_20523,edad_ventas_20559,diff_ventas_20559,fraccion_ventas_20559,edad_ventas_20659,diff_ventas_20659,fraccion_ventas_20659,edad_ventas_20525,diff_ventas_20525,fraccion_ventas_20525,edad_ventas_20575,diff_ventas_20575,fraccion_ventas_20575,edad_ventas_20577,diff_ventas_20577,fraccion_ventas_20577,edad_ventas_20754,diff_ventas_20754,fraccion_ventas_20754
0,2017-01-01,50.18154,47.86701,39.65784,59.61846,38.79694,54.66552,46.50109,55.06156,51.83931,32.07409,13.32617,30.28317,41.74986,27.36741,28.37931,26.76126,14.82788,14.90865,22.894090000000002,19.31398,21.53194,19.50061,12.83659,19.50801,11.6707,,,,,,,,,,,,,801.12299,1,,0.06263899629194264,1,,0.059749889339713,1,,0.049502811047776825,1,,0.07441861080531467,1,,0.04842819452728476,1,,0.06823611440735211,1,,0.05804488272144081,1,,0.06873047046122095,1,,0.0647083040270758,1,,0.0400364118872684,1,,0.01663436222196045,1,,0.03780089995919353,1,,0.05211417038474954,1,,0.03416130898952232,1,,0.03542441092596781,1,,0.033404683592964925,1,,0.01850886840733406,1,,0.018609689381152324,1,,0.02857749719553049,1,,0.024108632808053608,1,,0.026877196471418202,1,,0.02434159329268531,1,,0.016023245070023517,1,,0.024350830326314816,1,,0.014567925456739171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-02-01,29.08758,28.70071,66.26399,49.72013,18.2076,52.92679,57.18481,35.35656,37.44879,46.79945,15.11263,27.283450000000002,27.257270000000002,30.93105,31.11795,12.24419,11.24851,14.65971,13.86967,13.98679,21.57338,20.90736,20.50391,19.5299,6.46995,,,,,,,,,,,,,708.39213,2,-0.42035298239153285,0.04106141043661792,2,-0.4004072951287327,0.040515286357006824,2,0.6708925650010189,0.09354139775663517,2,-0.1660279383264848,0.07018729866465344,2,-0.5306949465602184,0.025702713552167782,2,-0.031806703750371416,0.07471397233055088,2,0.22975203376953102,0.0807247957427195,2,-0.3578721707121992,0.04991100056405201,2,-0.27759860229621103,0.05286449187401335,2,0.4591045295439404,0.06606432795914885,2,0.1340565218663727,0.021333706798803653,2,-0.09905568010218206,0.038514614779811294,2,-0.34712906821723466,0.03847765784749755,2,0.13021473350967444,0.04366374030722222,2,0.09650128914339355,0.043927577230424626,2,-0.5424658629675883,0.01728448056022305,2,-0.2413945891118623,0.015878931348376216,2,-0.016697688925556592,0.02069434339989068,2,-0.39418120571728343,0.019579085385942954,2,-0.27582041609238495,0.01974441754455968,2,0.0019245827361585384,0.030454008572907212,2,0.07213876899235454,0.029513823085527507,2,0.5973019314319459,0.028944293889882716,2,0.0011221031771053343,0.027569335079993058,2,-0.44562451266847747,0.009133288931371952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017-03-01,62.49153,63.88099,69.79743,69.25359,63.51088,63.54952,67.56178,49.36795,67.30141,29.09246,0.96634,52.706489999999995,38.50585,34.30869,35.4379,9.63407,0.89668,18.72648,20.60733,23.63964,29.09621,25.81971,21.70561,26.63765,11.51727,,,,,,,,,,,,,956.0134599999999,3,1.1483922003824312,0.06536678887345374,3,1.225763404459332,0.0668201784522992,3,0.053323683044139036,0.07300883608898144,3,0.3928682406904408,0.07243997380538973,3,2.488152200180145,0.0664330395515561,3,0.20070610743632866,0.06647345739253505,3,0.18146374885218644,0.07067032298896712,3,0.3962882701258267,0.05163938800610611,3,0.7971584662682025,0.07039797326702912,3,-0.3783589337054175,0.030431015061231463,3,-0.9360574565777101,0.0010108016680016201,3,0.931811776003401,0.05513153549114256,3,0.41268182763717715,0.040277518686818496,3,0.10919900876303908,0.03588724577162335,3,0.13882501900028757,0.037068411149776076,3,-0.21317212490168808,0.010077337195649945,3,-0.9202845532430517,0.0009379365851187912,3,0.27741135397630634,0.01958809241033071,3,0.48578372809158415,0.02155548102847841,3,0.6901404825553256,0.024727308755673798,3,0.3487089181203872,0.030434937600146345,3,0.23495792869114035,0.02700768459891768,3,0.058608333727567026,0.0227042933056612,3,0.3639419556679757,0.027863258326927744,3,0.7801173115711868,0.012047183938184302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017-04-01,52.81911,42.88788,50.29046,35.38368,38.68926,38.23951,49.10976,41.04279,40.97719,44.58428,36.40936,24.8746,14.06243,20.88,28.6329,19.94276,27.5927,42.33909,12.62747,14.529200000000001,14.64529,20.4491,7.80806,7.1149700000000005,7.9463799999999996,,,,,,,,,,,,,733.87823,4,-0.1547796957443672,0.07197258051925044,4,-0.3286284386012176,0.058440049379854205,4,-0.27947977454184203,0.06852698164925808,4,-0.4890708192889351,0.04821464727193229,4,-0.3908246901948139,0.052718909511731936,4,-0.39827224501459646,0.05210606942244356,4,-0.2731132897919504,0.066918131636089,4,-0.16863491394720673,0.055925885688147464,4,-0.39113920495870746,0.05583649756172764,4,0.5325029234378943,0.060751604527088915,4,36.67758759856779,0.04961226333147939,4,-0.5280543249986861,0.033894723924430895,4,-0.6347975697199257,0.019161802905640082,4,-0.3914078328260275,0.02845158657996981,4,-0.19202605120506577,0.03901587324643763,4,1.0700244029781807,0.027174480976224078,4,29.772070303787306,0.037598471888176874,4,1.2609208991759264,0.057692255021653926,4,-0.3872340570078705,0.017206492145161466,4,-0.38538827156420313,0.019797834853337998,4,-0.49665987425853747,0.01995602185937577,4,-0.20800427270484445,0.02786443195078835,4,-0.6402745649626985,0.010639448999597657,4,-0.7328979846195142,0.009695028015751332,4,-0.31004656485434484,0.010827927134451173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017-05-01,45.90913,45.22954,42.40054,42.57474,44.69458,43.310629999999996,42.5753,30.80029,29.50997,34.36943,40.04917,32.71503,29.55369,28.73871,25.03966,20.91775,14.69966,28.91341,15.56425,15.14169,19.74312,17.578310000000002,19.04655,19.6101,8.828059999999999,,,,,,,,,,,,,737.51331,5,-0.13082348415185346,0.06224854436864332,5,0.05459957451848861,0.061327083032576044,5,-0.15688701197006358,0.05749122005676073,5,0.20323098106245593,0.05772741918379751,5,0.1552193037550991,0.06060172663188953,5,0.13261467001015423,0.05872521812521593,5,-0.13305827599238934,0.057728178492127816,5,-0.2495566212725791,0.04176235138047881,5,-0.2798439814931185,0.04001279651481815,5,-0.2291132659314,0.046601775905576535,5,0.09996907388649505,0.054302979291316104,5,0.3151982343434667,0.04435856215259355,5,1.1016061946619466,0.0400720768008919,5,0.3763750000000001,0.03896703911689404,5,-0.1254934009478606,0.033951468618240936,5,0.04888942152440293,0.028362538975737265,5,-0.4672627180377419,0.01993138266209731,5,-0.3170989267837358,0.03920391619779716,5,0.2325707366558779,0.021103686928714546,5,0.04215579660270347,0.020530734557183787,5,0.34808665448072396,0.026769849075672952,5,-0.1403871075010636,0.023834566456841302,5,1.4393447283960419,0.025825364426304384,5,1.7561746570962349,0.026589486229068867,5,0.11095366695275073,0.011970034818761438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017-06-01,67.12757,52.00169,44.67878,38.07552,48.05198,35.45995,43.11447,30.90232,26.834500000000002,26.90376,42.03706,27.18774,18.31972,25.239160000000002,21.68291,17.51587,25.77991,37.16186,21.32201,21.34083,18.27893,20.21031,19.42828,18.27591,8.49431,,,,,,,,,,,,,755.42535,6,0.4621834480418167,0.08886062666549382,6,0.14972847391328772,0.0688376290258197,6,0.05373139115681083,0.05914387172736526,6,-0.10567815563876612,0.050402756539742806,6,0.07511872804263958,0.06360917064803293,6,-0.18126450711984557,0.04694037604112703,6,0.01266391546272131,0.05707310457611728,6,0.003312631147304106,0.040907178982013244,6,-0.09066325719748265,0.035522371601641387,6,-0.21721832454015103,0.03561405504858951,6,0.04963623465854599,0.05564687496918127,6,-0.16895261902556707,0.03598997571368237,6,-0.3801207226576444,0.02425086740867248,6,-0.12177129731988663,0.03341052825404919,6,-0.13405733144938875,0.028702915516404102,6,-0.16263125814200866,0.02318676491330348,6,0.753775937674749,0.03412635014167846,6,0.28528112042128545,0.049193292229338076,6,0.36993494707422453,0.02822517142163683,6,0.40940872518193144,0.02825008453846565,6,-0.07416203720587232,0.024196871338776228,6,0.14972997973070207,0.026753550168789015,6,0.020041949854435633,0.02571833206285704,6,-0.06803585907262072,0.024192873591017298,6,-0.037805588090701524,0.011244406876205572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2017-07-01,38.98859,47.38247,27.21771,40.84758,24.59287,39.6999,28.377110000000002,21.17742,21.40348,28.2154,23.885080000000002,25.04727,14.23006,13.03872,13.68449,17.86766,18.90158,18.27571,10.96251,10.89114,16.26196,10.90959,12.73034,11.72226,1.848,,,,,,,,,,,,,538.1589,7,-0.4191866322585489,0.07244810036589565,7,-0.0888282669274788,0.08804550105925962,7,-0.3908134913263075,0.0505756013697813,7,0.0728042584841915,0.07590245185947868,7,-0.48820277541112767,0.04569815717997045,7,0.11957010655683385,0.07376984753016255,7,-0.3418193474255858,0.052729983653526866,7,-0.3146980550327612,0.039351611577918715,7,-0.20238946132776847,0.03977167338494262,7,0.04875303675025352,0.05242949619526872,7,-0.43180897998099765,0.044382950834781325,7,-0.07872923604536458,0.04654251746092093,7,-0.22323812809366084,0.026442115888076923,7,-0.4833932666538823,0.024228383103949407,7,-0.3688812986817729,0.025428344676637328,7,0.02008407232983581,0.033201457785051965,7,-0.26680969793920933,0.035122674734172375,7,-0.5082132595085391,0.0339596910875208,7,-0.4858594475849134,0.020370396178526453,7,-0.4896571501670741,0.02023777735534988,7,-0.11034398621801171,0.030217766536983777,7,-0.46019680054388085,0.020272060909891112,7,-0.3447520830459516,0.023655355323492746,7,-0.3585950029300866,0.021782153932602435,7,-0.7824425998109323,0.0034339300158373297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2017-08-01,34.0432,29.28278,51.67366,35.14511,29.91864,35.023849999999996,53.03323,27.42503,25.67536,30.07233,18.38995,23.39533,24.58928,28.18153,26.69837,29.30543,15.924489999999999,23.12334,13.84549,11.39327,16.53677,18.55336,14.47676,14.805990000000001,6.5468399999999995,,,,,,,,,,,,,637.0593899999999,8,-0.12684198120527065,0.05343803189212862,8,-0.3819912722996501,0.045965541768405616,8,0.8985307727946251,0.08111278290710071,8,-0.13960361911280908,0.055167713641266644,8,0.21655748190430796,0.046963659071095405,8,-0.11778493144819013,0.054977370320214575,8,0.8688735392716171,0.08324691674350802,8,0.2950128013705162,0.04304940862734949,8,0.19958810436433716,0.04030292999841036,8,0.06581264132353261,0.04720490816405674,8,-0.23006537972659094,0.02886693185701258,8,-0.0659528962637445,0.03672393872100371,8,0.7279814702116505,0.03859809679596749,8,1.1613724353310755,0.04423689602942671,8,0.9509948854506087,0.0419087614421632,8,0.6401381042621138,0.04600109575341164,8,-0.1575048223481847,0.02499686881626531,8,0.2652498863245258,0.03629699265558271,8,0.26298539294376927,0.02173343681505111,8,0.04610444820285106,0.017884156765980642,8,0.01689894699039982,0.02595797230145215,8,0.700646862072727,0.029123438554135437,8,0.13718565254345136,0.022724349137997955,8,0.2630661664218334,0.0232411455390368,8,2.542662337662337,0.010276655681976528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2017-09-01,39.54387,32.95661,53.02895,34.66303,34.51759,34.94131,51.78021,21.96478,23.15304,30.60602,17.4175,23.21402,16.31497,29.86183,26.36101,22.44282,21.93624,19.9308,23.52262,24.43524,14.954089999999999,21.29084,15.076550000000001,14.08424,12.31663,,,,,,,,,,,,,660.3148100000001,9,0.1615791112468863,0.05988638964496343,9,0.12546042418103742,0.04991045104682718,9,0.026227869285821902,0.08030858795973393,9,-0.013716844249456137,0.052494703246168284,9,0.15371520898008728,0.05227444466980832,9,-0.002356679805332495,0.0529161385915303,9,-0.02362707306343601,0.07841745969623184,9,-0.19909732095097066,0.033264103223733535,9,-0.09823893413763236,0.035063638811917604,9,0.017746878941538615,0.046350649018458326,9,-0.05287942599082643,0.02637756981401038,9,-0.0077498372538450985,0.0351559887018133,9,-0.33650070274526134,0.02470786623731792,9,0.05962415809219736,0.04522362598530843,9,-0.012635977402365774,0.03992188210953499,9,-0.23417537295989171,0.03398806093717631,9,0.3775160146415994,0.0332208814156387,9,-0.13806569466175725,0.030183784610252794,9,0.6989373434959687,0.03562334153916675,9,1.1447082356513978,0.03700543987495903,9,-0.09570671902675079,0.02264690988833038,9,0.14754632045085084,0.0322434688387498,9,0.041431231850220664,0.02283236688269948,9,-0.04874716246600206,0.02132958368751414,9,0.8813091506742186,0.018652663568154707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2017-10-01,87.12808,78.4449,54.91941,52.442550000000004,68.44624999999999,52.08792,52.49416,35.866929999999996,32.62279,38.80004,21.013279999999998,34.210879999999996,32.44057,24.15899,29.55796,37.0479,26.5781,23.99409,26.65175,24.23858,29.90453,18.95723,20.7296,24.078870000000002,11.861650000000001,,,,,,,,,,,,,938.67701,10,1.2033270896348789,0.09282008515367815,10,1.380247847093497,0.08356964021096032,10,0.03564958385938242,0.05850724947444915,10,0.5129245769916827,0.055868578266341055,10,0.9829382642299186,0.07291778670492845,10,0.49072602028945095,0.05549078058276936,10,0.013788086220585126,0.05592355990480687,10,0.6329291711549123,0.0382100867688237,10,0.40900676541827774,0.034754009795126446,10,0.2677257611411089,0.04133481441076308,10,0.20644639012487428,0.02238606014224211,10,0.4737163145375077,0.03644584839677707,10,0.98839286863537,0.034559885513761546,10,-0.19097423031341354,0.025737276765732228,10,0.12127570225875264,0.03148895699490925,10,0.6507684863132172,0.0394682085587672,10,0.21160691166763299,0.028314425214270453,10,0.20386988981877285,0.025561603985592447,10,0.13302642307702117,0.028392886707643984,10,-0.008048212335954196,0.025822066314375804,10,0.9997559196179776,0.03185816812537041,10,-0.10960629078044831,0.02019569010217902,10,0.3749564721371932,0.022083847563284843,10,0.7096321846262207,0.025651922592628537,10,-0.03694029941631754,0.012636561749818503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
