,Fecha,ventas_20563,ventas_20585,ventas_20612,ventas_20699,ventas_20742,ventas_20751,ventas_20883,ventas_20906,ventas_20956,ventas_20985,totales_ventas,edad_ventas_20563,diff_ventas_20563,fraccion_ventas_20563,edad_ventas_20585,diff_ventas_20585,fraccion_ventas_20585,edad_ventas_20612,diff_ventas_20612,fraccion_ventas_20612,edad_ventas_20699,diff_ventas_20699,fraccion_ventas_20699,edad_ventas_20742,diff_ventas_20742,fraccion_ventas_20742,edad_ventas_20751,diff_ventas_20751,fraccion_ventas_20751,edad_ventas_20883,diff_ventas_20883,fraccion_ventas_20883,edad_ventas_20906,diff_ventas_20906,fraccion_ventas_20906,edad_ventas_20956,diff_ventas_20956,fraccion_ventas_20956,edad_ventas_20985,diff_ventas_20985,fraccion_ventas_20985
0,2017-01-01,0.20787,0.16363999999999998,0.21229,0.20787,0.22113,0.07077,0.10908999999999999,0.11204,0.11204,0.10908999999999999,1.5258299999999998,1,,0.13623404966477262,1,,0.10724654778055223,1,,0.13913083371017743,1,,0.13623404966477262,1,,0.144924401800987,1,,0.046381313776764126,1,,0.07149551391701567,1,,0.07342888788397135,1,,0.07342888788397135,1,,0.07149551391701567
1,2017-02-01,9.3982,7.96078,6.85073,7.38148,11.39277,10.41979,5.94107,4.56718,5.75547,4.20749,73.87495999999999,2,44.21191129071054,0.1272176661753861,2,47.64813004155464,0.10776019371110321,2,31.270620377785104,0.09273412804555159,2,34.51007841439361,0.0999185650997307,2,50.520689187355856,0.15421693629343425,2,146.23456266779712,0.14104630310459731,2,53.46026216885141,0.08042061884026741,2,39.76383434487682,0.061823113000670324,2,50.36977865048197,0.07790826553408625,2,37.56897974149785,0.05695421019517304
2,2017-03-01,12.77257,12.9495,12.44532,10.90625,12.23303,12.17112,5.40156,5.05953,4.20745,4.27526,92.42159000000001,3,0.3590442850758657,0.13819898575646664,3,0.6266622114918389,0.14011336528618473,3,0.8166414382116942,0.13465814643526475,3,0.47751534922535865,0.11800543574288215,3,0.07375379297572046,0.13236117231915182,3,0.16807728370725314,0.13169130719348152,3,-0.09081024125283828,0.05844478546625306,3,0.10780175075210527,0.05474402680152981,3,-0.26896500198941187,0.04552453598774917,3,0.01610699015327436,0.046258239011036276
3,2017-04-01,3.32141,3.58678,3.18435,2.32633,2.48557,2.57402,1.30027,1.40645,0.66935,1.07916,21.93369,4,-0.7399575809723493,0.1514296044122079,4,-0.7230178771381134,0.1635283438400014,4,-0.7441327342326272,0.14518076985678197,4,-0.7866975358166188,0.10606195309589951,4,-0.7968148529023472,0.11332201740792362,4,-0.7885141219542656,0.11735462660409626,4,-0.7592788009389879,0.0592818627417457,4,-0.7220196342348004,0.06412281745570399,4,-0.8409131421644939,0.030516980954868975,4,-0.7475802641242872,0.049201023630770745
4,2017-05-01,8.50925,8.72592,5.63446,4.91361,3.98926,4.18383,1.68066,1.83103,1.4566,1.35635,42.280969999999996,5,1.5619390560033237,0.2012548434910552,5,1.4328004505433845,0.20637937114498558,5,0.7694223310879772,0.13326231635650743,5,1.1121723917071096,0.11621327514482285,5,0.6049678745720296,0.09435119392956216,5,0.6254069509949419,0.0989530278042344,5,0.29254693256016057,0.03974979760398118,5,0.301880621422731,0.04330624392013712,5,1.176141032344812,0.034450486826579425,5,0.25685718521813267,0.0320794437781347
5,2017-06-01,6.73576,5.28514,4.5377,3.59121,2.58287,2.19367,1.43889,1.43003,0.98485,1.09393,29.874050000000004,6,-0.20841907336134205,0.22547193969347976,6,-0.3943171608265948,0.17691407760246766,6,-0.19465219382159066,0.15189436986280733,6,-0.26913002863475133,0.12021168873989296,6,-0.3525440808571012,0.08645864889427446,6,-0.4756789831326799,0.07343061955108195,6,-0.143854200135661,0.04816521362185575,6,-0.21900241940328669,0.04786863515325172,6,-0.3238706576960043,0.03296673869127219,6,-0.19347513547388204,0.03661806818961607
6,2017-07-01,4.38731,4.06887,3.10031,2.68458,2.11404,2.03443,0.64871,0.87574,0.39219,0.56909,20.875269999999997,7,-0.3486540494316899,0.21016782058387753,7,-0.23013013846369249,0.19491340710802788,7,-0.31676620314256126,0.1485159233868592,7,-0.2524580851579272,0.12860097138863355,7,-0.18151513626314913,0.10127006740511622,7,-0.07259068136957703,0.0974564640361538,7,-0.5491594214985163,0.031075526208762815,7,-0.3876072529946924,0.041951074165747324,7,-0.6017769203431994,0.01878730191274173,7,-0.47977475706855105,0.027261443804080143
7,2017-08-01,5.30718,5.22759,4.47131,3.56909,2.52101,2.14949,1.64821,1.57449,1.0260799999999999,0.59266,28.08711,8,0.20966605961283782,0.18895429255626514,8,0.2847768545075167,0.1861206083502361,8,0.4422138431318159,0.15919437777685208,8,0.329477981658211,0.1270721694043994,8,0.1925081833834742,0.08975683151452749,8,0.05655638188583543,0.07652941153433017,8,1.5407501040526583,0.058682078718672016,8,0.7978966359878503,0.05605738717867378,8,1.6162829240929137,0.036532060436264176,8,0.04141699906868857,0.021100782529779673
8,2017-09-01,4.00693,3.55137,3.25514,2.37062,1.4152900000000002,1.6010900000000001,0.98189,1.31508,0.67525,0.67228,19.844939999999998,9,-0.24499828534174461,0.20191192314010525,9,-0.32064871193035416,0.17895594544503537,9,-0.27199411358192566,0.16402871462448365,9,-0.33579147625865413,0.11945715129398227,9,-0.43860198888540697,0.07131742398818038,9,-0.2551302867191752,0.08068001213407551,9,-0.4042688735051965,0.049478103738282916,9,-0.1647581121506011,0.06626777405222692,9,-0.34191291127397466,0.034026305950030596,9,0.13434346843046607,0.03387664563359728
9,2017-10-01,5.58586,5.61239,4.62613,3.52489,2.61824,2.41482,2.18487,2.04919,1.7631999999999999,1.37106,31.750650000000004,10,0.3940498087064163,0.17592899672920081,10,0.5803450499384746,0.1767645701741539,10,0.42117696934694054,0.1457018990162406,10,0.4869063789219697,0.11101788467322715,10,0.8499671445428144,0.08246256375853722,10,0.508235014896102,0.07605576578747207,10,1.2251677886524968,0.06881339437145381,10,0.5582245947014629,0.06454009602953009,10,1.611181044057756,0.05553272137735762,10,1.0394180996013564,0.043182108082826645
